Instantiated DTM.
Cyc=          0 (0x80000000, 0x00000000, 0x00000000, 0x00000000, 0x00000000) WB[   00: 0x00000000]       ExeInst: DASM(00004033)
Cyc=          1 (0x80000004, 0x80000000, 0x00000000, 0x00000000, 0x00000000) WB[   00: 0x00000000]       ExeInst: DASM(00004033)
Cyc=          2 (0x80000008, 0x80000004, 0x80000000, 0x00000000, 0x00000000) WB[ Z 00: 0x00000000]   B   ExeInst: DASM(04c0006f)
Cyc=          3 (0x8000004c, 0x80000008, 0x80000004, 0x80000000, 0x00000000) WB[MZ 00: 0x00000000]       ExeInst: DASM(00004033)
Cyc=          4 (0x80000050, 0x8000004c, 0x80000008, 0x80000004, 0x80000000) WB[M  00: 0x80000004]       ExeInst: DASM(00004033)
Cyc=          5 (0x80000054, 0x80000050, 0x8000004c, 0x80000008, 0x80000004) WB[ Z 00: 0x00000000] S     ExeInst: DASM(f1402573)
Cyc=          6 (0x80000054, 0x80000050, 0x8000004c, 0x8000004c, 0x80000008) WB[MZ 00: 0x00000000]       ExeInst: DASM(00004033)
Cyc=          7 (0x80000058, 0x80000054, 0x80000050, 0x8000004c, 0x8000004c) WB[M  0a: 0x00000000]       ExeInst: DASM(00051063)
Cyc=          8 (0x8000005c, 0x80000058, 0x80000054, 0x80000050, 0x8000004c) WB[   00: 0x00000000]       ExeInst: DASM(00000297)
Cyc=          9 (0x80000060, 0x8000005c, 0x80000058, 0x80000054, 0x80000050) WB[ Z 00: 0x00000000]       ExeInst: DASM(01028293)
Cyc=         10 (0x80000064, 0x80000060, 0x8000005c, 0x80000058, 0x80000054) WB[MZ 05: 0x80000054] S     ExeInst: DASM(30529073)
Cyc=         11 (0x80000064, 0x80000060, 0x8000005c, 0x8000005c, 0x80000058) WB[MZ 05: 0x80000064]       ExeInst: DASM(00004033)
Cyc=         12 (0x80000068, 0x80000064, 0x80000060, 0x8000005c, 0x8000005c) WB[M  00: 0x00000100] S     ExeInst: DASM(18005073)
Cyc=         13 (0x80000068, 0x80000064, 0x80000060, 0x80000060, 0x8000005c) WB[ Z 00: 0x00000000]       ExeInst: DASM(00004033)
Cyc=         14 (0x8000006c, 0x80000068, 0x80000064, 0x80000060, 0x80000060) WB[M  00: 0x00000000]       ExeInst: DASM(00000297)
Cyc=         15 (0x80000070, 0x8000006c, 0x80000068, 0x80000064, 0x80000060) WB[ Z 00: 0x00000000]       ExeInst: DASM(01c28293)
Cyc=         16 (0x80000074, 0x80000070, 0x8000006c, 0x80000068, 0x80000064) WB[MZ 05: 0x80000064] S     ExeInst: DASM(30529073)
Cyc=         17 (0x80000074, 0x80000070, 0x8000006c, 0x8000006c, 0x80000068) WB[MZ 05: 0x80000080]       ExeInst: DASM(00004033)
Cyc=         18 (0x80000078, 0x80000074, 0x80000070, 0x8000006c, 0x8000006c) WB[M  00: 0x00000100]       ExeInst: DASM(fff00293)
Cyc=         19 (0x8000007c, 0x80000078, 0x80000074, 0x80000070, 0x8000006c) WB[ Z 00: 0x00000000] S     ExeInst: DASM(3b029073)
Cyc=         20 (0x8000007c, 0x80000078, 0x80000074, 0x80000074, 0x80000070) WB[MZ 05: 0xffffffff]       ExeInst: DASM(00004033)
Cyc=         21 (0x80000080, 0x8000007c, 0x80000078, 0x80000074, 0x80000074) WB[M  00: 0x00000000]       ExeInst: DASM(01f00293)
Cyc=         22 (0x80000084, 0x80000080, 0x8000007c, 0x80000078, 0x80000074) WB[ Z 00: 0x00000000] S     ExeInst: DASM(3a029073)
Cyc=         23 (0x80000084, 0x80000080, 0x8000007c, 0x8000007c, 0x80000078) WB[MZ 05: 0x0000001f]       ExeInst: DASM(00004033)
Cyc=         24 (0x80000088, 0x80000084, 0x80000080, 0x8000007c, 0x8000007c) WB[M  00: 0x00000000]       ExeInst: DASM(00000297)
